Субъект,Код ОКПД-2,Округ,Месяц,Год,Значение
Республика Башкортостан,23.52.10.120,ПФО,2,2020,0.0
Республика Марий Эл,23.52.10.120,ПФО,2,2020,0.0
Республика Мордовия,23.52.10.120,ПФО,2,2020,0.0
Республика Татарстан,23.52.10.120,ПФО,2,2020,0.0
Самарская область,23.52.10.120,ПФО,2,2020,0.0
Саратовская область,23.52.10.120,ПФО,2,2020,0.0
Удмуртская Республика,23.52.10.120,ПФО,2,2020,0.0
Ульяновская область,23.52.10.120,ПФО,2,2020,0.0
Чувашская Республика,23.52.10.120,ПФО,2,2020,0.5
Архангельская область,23.52.10.120,СЗФО,2,2020,0.0
Вологодская область,23.52.10.120,СЗФО,2,2020,0.0
Калининградская область,23.52.10.120,СЗФО,2,2020,0.0
Ленинградская область,23.52.10.120,СЗФО,2,2020,0.0
Мурманская область,23.52.10.120,СЗФО,2,2020,0.0
Новгородская область,23.52.10.120,СЗФО,2,2020,0.493
Псковская область,23.52.10.120,СЗФО,2,2020,0.0
Республика Карелия,23.52.10.120,СЗФО,2,2020,0.0
Республика Коми,23.52.10.120,СЗФО,2,2020,0.0
Санкт-Петербург,23.52.10.120,СЗФО,2,2020,0.0
Кабардино-Балкарская Республика,23.52.10.120,СКФО,2,2020,0.0
Карачаево-Черкесская Республика,23.52.10.120,СКФО,2,2020,0.0
Республика Дагестан,23.52.10.120,СКФО,2,2020,0.0
Республика Ингушетия,23.52.10.120,СКФО,2,2020,0.0
Республика Северная Осетия-Алания,23.52.10.120,СКФО,2,2020,0.0
Ставропольский край,23.52.10.120,СКФО,2,2020,0.0
Чеченская Республика,23.52.10.120,СКФО,2,2020,0.0
Алтайский край,23.52.10.120,СФО,2,2020,0.0
Забайкальский край,23.52.10.120,ДВФО,2,2020,0.0
Иркутская область,23.52.10.120,СФО,2,2020,0.1
Кемеровская область,23.52.10.120,СФО,2,2020,0.0
Красноярский край,23.52.10.120,СФО,2,2020,0.1
Новосибирская область,23.52.10.120,СФО,2,2020,2.4
Омская область,23.52.10.120,СФО,2,2020,0.0
Республика Алтай,23.52.10.120,СФО,2,2020,0.0
Республика Бурятия,23.52.10.120,ДВФО,2,2020,0.0
Республика Тыва,23.52.10.120,СФО,2,2020,0.0
Республика Хакасия,23.52.10.120,СФО,2,2020,0.0
Томская область,23.52.10.120,СФО,2,2020,0.0
Курганская область,23.52.10.120,УФО,2,2020,0.0
Свердловская область,23.52.10.120,УФО,2,2020,1.8
Тюменская область,23.52.10.120,УФО,2,2020,0.0
Челябинская область,23.52.10.120,УФО,2,2020,1.8
Белгородская область,23.52.10.120,ЦФО,2,2020,1.827
Брянская область,23.52.10.120,ЦФО,2,2020,0.0
Владимирская область,23.52.10.120,ЦФО,2,2020,2.4
Воронежская область,23.52.10.120,ЦФО,2,2020,3.1
Ивановская область,23.52.10.120,ЦФО,2,2020,0.0
Калужская область,23.52.10.120,ЦФО,2,2020,0.5
Костромская область,23.52.10.120,ЦФО,2,2020,0.0
Курская область,23.52.10.120,ЦФО,2,2020,0.0
Липецкая область,23.52.10.120,ЦФО,2,2020,0.1
Москва,23.52.10.120,ЦФО,2,2020,0.0
Московская область,23.52.10.120,ЦФО,2,2020,0.0
Орловская область,23.52.10.120,ЦФО,2,2020,0.0
Рязанская область,23.52.10.120,ЦФО,2,2020,0.0
Смоленская область,23.52.10.120,ЦФО,2,2020,0.0
Тамбовская область,23.52.10.120,ЦФО,2,2020,0.0
Тверская область,23.52.10.120,ЦФО,2,2020,0.0
Тульская область,23.52.10.120,ЦФО,2,2020,0.0
Ярославская область,23.52.10.120,ЦФО,2,2020,0.0
Астраханская область,23.52.10.120,ЮФО,2,2020,0.0
Волгоградская область,23.52.10.120,ЮФО,2,2020,0.0
Краснодарский край,23.52.10.120,ЮФО,2,2020,0.666
Республика Адыгея,23.52.10.120,ЮФО,2,2020,0.0
Республика Калмыкия,23.52.10.120,ЮФО,2,2020,0.0
Республика Крым,23.52.10.120,ЮФО,2,2020,0.0
Ростовская область,23.52.10.120,ЮФО,2,2020,0.0
Севастополь,23.52.10.120,ЮФО,2,2020,0.0
Амурская область,23.52.10.130,ДВФО,2,2020,0.0
Еврейская автономная область,23.52.10.130,ДВФО,2,2020,0.0
Камчатский край,23.52.10.130,ДВФО,2,2020,0.0
Магаданская область,23.52.10.130,ДВФО,2,2020,0.0
Приморский край,23.52.10.130,ДВФО,2,2020,0.0
Республика Саха (Якутия),23.52.10.130,ДВФО,2,2020,0.0
Сахалинская область,23.52.10.130,ДВФО,2,2020,0.0
Хабаровский край,23.52.10.130,ДВФО,2,2020,1.0
Кировская область,23.52.10.130,ПФО,2,2020,0.0
Нижегородская область,23.52.10.130,ПФО,2,2020,1.9
Оренбургская область,23.52.10.130,ПФО,2,2020,0.0
Пензенская область,23.52.10.130,ПФО,2,2020,0.0
Пермский край,23.52.10.130,ПФО,2,2020,42.9
Республика Башкортостан,23.52.10.130,ПФО,2,2020,0.0
Республика Марий Эл,23.52.10.130,ПФО,2,2020,0.0
Республика Мордовия,23.52.10.130,ПФО,2,2020,0.0
Республика Татарстан,23.52.10.130,ПФО,2,2020,3.261
Самарская область,23.52.10.130,ПФО,2,2020,0.0
Саратовская область,23.52.10.130,ПФО,2,2020,0.0
Удмуртская Республика,23.52.10.130,ПФО,2,2020,1.34
Ульяновская область,23.52.10.130,ПФО,2,2020,4.4
